Name,Latitude,Longitude
722-R01-FDT03-FAT39,36.87407727,42.97424633
722-R01-FDT03-FAT40,36.87433217,42.97445739
722-R01-FDT03-FAT41,36.87228926,42.97047929
722-R01-FDT03-FAT42,36.87492533,42.97392705
722-R01-FDT03-FAT43,36.87436327,42.97129172
722-R01-FDT04-FAT01,36.87129829,42.96910623
722-R01-FDT04-FAT02,36.87154103,42.96913728
722-R01-FDT04-FAT03,36.87183386,42.96914889
722-R01-FDT04-FAT04,36.87257602,42.96873193
722-R01-FDT04-FAT05,36.87314109,42.96772665
722-R01-FDT04-FAT06,36.87299564,42.96666496
722-R01-FDT04-FAT07,36.87282601,42.9665896
722-R01-FDT04-FAT08,36.87267687,42.96652069
722-R01-FDT04-FAT09,36.87193409,42.966044
722-R01-FDT04-FAT10,36.87440474,42.9673911
722-R01-FDT04-FAT11,36.8744149,42.96708094
722-R01-FDT04-FAT12,36.87253667,42.96723154
722-R01-FDT04-FAT13,36.87214421,42.96805989
722-R01-FDT04-FAT14,36.87295007,42.96681848
722-R01-FDT04-FAT15,36.87306874,42.9652493
722-R01-FDT04-FAT16,36.8732537,42.9647253
722-R01-FDT04-FAT17,36.87267644,42.96380755
722-R01-FDT04-FAT18,36.87388917,42.966086
722-R01-FDT04-FAT19,36.87416317,42.96493015
722-R01-FDT04-FAT20,36.87302614,42.96614931
722-R01-FDT04-FAT21,36.8730476,42.96573688
722-R01-FDT04-FAT22,36.87370023,42.96479605
722-R01-FDT04-FAT23,36.87374322,42.96398398
722-R01-FDT04-FAT24,36.87343397,42.96331975
722-R01-FDT04-FAT25,36.87390868,42.96214657
722-R01-FDT04-FAT26,36.8735417,42.96185862
722-R01-FDT04-FAT27,36.8728831,42.96247186
722-R01-FDT04-FAT28,36.87209809,42.96918084
722-R01-FDT04-FAT29,36.87225789,42.96920027
722-R01-FDT04-FAT30,36.87282517,42.96922326
722-R01-FDT04-FAT31,36.87362172,42.96914184
722-R01-FDT04-FAT32,36.87363942,42.96874719
722-R01-FDT04-FAT33,36.87368302,42.96780747
722-R01-FDT04-FAT34,36.8741506,42.96789913
722-R01-FDT04-FAT35,36.87468116,42.96881113
722-R01-FDT04-FAT36,36.87518868,42.96834271
722-R01-FDT04-FAT37,36.87521373,42.96752618
722-R01-FDT04-FAT38,36.87529994,42.96657917
722-R01-FDT04-FAT39,36.87082204,42.96922087
722-R01-FDT04-FAT40,36.87145564,42.96984466
722-R01-FDT04-FAT41,36.87177885,42.96987062
722-R01-FDT04-FAT42,36.87206278,42.96987929
722-R01-FDT04-FAT43,36.87270409,42.96993968
722-R01-FDT04-FAT44,36.87333074,42.96999572
722-R01-FDT04-FAT45,36.8761561,42.96623684
722-R01-FDT04-FAT46,36.87354823,42.96659181
722-R01-FDT04-FAT47,36.87257018,42.96550651
722-R01-FDT04-FAT48,36.87319662,42.96328282
722-R01-FDT04-FAT49,36.87236423,42.96654564
722-R01-FDT04-FAT50,36.87342625,42.96253474
722-R01-FDT05-FAT01,36.86830537,42.96885521
722-R01-FDT05-FAT02,36.86782137,42.96867046
722-R01-FDT05-FAT03,36.86785712,42.96809978
722-R01-FDT05-FAT04,36.86787793,42.96746611
722-R01-FDT05-FAT05,36.86787968,42.96722996
722-R01-FDT05-FAT06,36.86791623,42.96633697
722-R01-FDT05-FAT07,36.86792786,42.96595559
722-R01-FDT05-FAT08,36.86810869,42.9655578
722-R01-FDT05-FAT09,36.8687742,42.96920124
722-R01-FDT05-FAT10,36.86848438,42.96717234
722-R01-FDT05-FAT11,36.86851581,42.96636712
722-R01-FDT05-FAT12,36.86896714,42.9667715
722-R01-FDT05-FAT13,36.86915412,42.96621963
722-R01-FDT05-FAT14,36.86912011,42.96547589
722-R01-FDT05-FAT15,36.86968851,42.9656995
722-R01-FDT05-FAT16,36.87160826,42.9651206
722-R01-FDT05-FAT17,36.87214994,42.96551931
722-R01-FDT05-FAT18,36.87176519,42.96400181
722-R01-FDT05-FAT19,36.87109086,42.96356304
722-R01-FDT05-FAT20,36.87157416,42.96462128
722-R01-FDT05-FAT21,36.87089982,42.96432091
722-R01-FDT05-FAT22,36.87226707,42.96410807
722-R01-FDT05-FAT23,36.87226488,42.96314518
